"dates","PT","NL","IT","IE","GR","GB","FR","ES","DE","BE"
2007-02-12,0.0162935184792578,-0.0523427332940176,0.043751525667287,0.149387903219412,-0.512028069127482,-0.0482927818623768,-0.206457391844521,-0.190526848345854,0.191801724757726,-0.18880772143587
2007-02-13,-0.200609023346623,-0.060025404555434,0.0238901894732069,0.104656115536397,-0.489643182997746,-0.135458200257036,-0.219504552118966,-0.2016498217267,0.173569932596412,-0.152526197789104
2007-02-14,-0.178355316341489,-0.0373655424740143,0.035785925799942,0.127286009381784,-0.502227891012301,-0.169872526688571,-0.169610789655451,-0.167856724282665,0.155994518284085,-0.131732517873596
2007-02-15,-0.14202709185151,-0.0298023715299023,0.054149341654803,0.353881210219187,-0.48891283717386,-0.242404395022364,-0.174179790868311,-0.141443458504575,0.138419196001593,-0.171126709747544
2007-02-16,-0.103368501083095,-0.0370536376651668,0.0553242702071996,0.326816776695129,-0.455905567449932,-0.286897245127654,-0.147246962706911,-0.305664685099995,0.0984933153397995,-0.129834550350969
2007-02-19,-0.0179126501893421,-0.0514552533171599,0.0968230282766203,0.354985917729037,-0.452004979813811,-0.277883760821898,-0.138932948333616,-0.305664685099995,0.095020414891078,-0.134722356861098
2007-02-20,0.0387137672370077,-0.0514552533171599,0.102662648458759,0.325048949560382,-0.433892063798247,-0.289987007842086,-0.0317183215278491,-0.291588795442033,0.101078508176804,-0.130496297491198
2007-02-21,0.0804903084619606,-0.0875056217757927,0.118526873910578,0.351699803145575,-0.428867791383706,-0.245243595122458,0.0812321170575369,-0.364518882567188,0.0521165936344148,-0.0845256750187195
2007-02-22,0.135557538473081,-0.143846230528449,0.10235901303388,0.0953027994850052,-0.480052584666283,-0.245243595122458,0.0998810839397007,-0.342597487996338,0.0521165936344149,-0.0664534898794519
2007-02-23,0.169410762150959,-0.163079065428872,0.0586236338995994,0.0770861533768862,-0.470860238557125,-0.223044486306279,0.112743446946702,-0.344975744745642,0.0154200762052412,-0.0764108433247757
2007-02-26,0.194484970766277,-0.167310367505024,0.0485446018587242,-0.0455935363368528,-0.491518240170183,-0.201090597272158,0.110582449434197,-0.322748612183951,-0.0144093884134398,-0.122214684324571
2007-02-27,0.222228572913351,-0.0994049536567643,0.050388208074827,-0.119831035730244,-0.530456287946116,-0.203697234180603,0.0893967742997946,-0.275992527072745,-0.0119697551674835,-0.111125891535394
2007-02-28,0.181313394745318,-0.0374675722525543,0.00411105099868786,-0.068693877908652,-0.0480420419382756,-0.1381834896716,0.0284364580653087,-0.200445931434318,0.00835701733227414,-0.0902582945942921
2007-03-01,0.209114515678665,-0.0332550911622066,-0.00301912347793157,-0.0746913686973272,-0.0824810416873783,-0.139530594175363,0.0217157676157611,-0.39256794194266,0.0212658888964967,-0.0399759588970821
2007-03-02,0.236752076078995,-0.0198418947533136,0.0584217935135195,-0.0966014505009894,-0.0677892081638584,-0.178530060297315,0.106059529315136,-0.414462472492136,0.0168554233520245,0.00795095176518832
2007-03-05,0.202774433030584,-0.0278434265115322,0.0926750766149335,-0.232621052599618,-0.0694001982185798,-0.205967328959328,0.123395608604596,-0.414462472492136,0.0312872302559989,0.0084868118541526
2007-03-06,0.0860163885354818,-0.0425487364915993,0.0708255588552825,-0.249098191467918,-0.0925298798852704,-0.276236720387553,0.119932403222961,-0.495620353580965,0.0259930448397174,0.0197820068104776
2007-03-07,0.0777775512379197,-0.0644387168130556,0.0193974881596196,-0.259463988032514,-0.115253705201308,-0.280779770093467,0.109891117352719,-0.495620353580965,0.0115232638681436,-0.0311076682983883
2007-03-08,0.094805768455855,-0.0582398945386891,7.05680016762657e-05,-0.303934052654682,-0.115253705201308,-0.342900317190484,0.0895952399407515,-0.495620353580965,0.0325569421530559,-0.0295852102327435
2007-03-09,0.0259591057754582,-0.204663087807512,-0.0788793095866078,-0.274889726857486,-0.113771265222762,-0.313955607388253,0.0814151172671181,-0.495620353580965,0.0179666512909361,-0.015111304282369
2007-03-12,0.0246171330054535,-0.00498729856240353,-0.0875604122390092,-0.329244512533315,-0.125519016735711,-0.288029952211311,0.0359757669916287,-0.495620353580965,0.0136466425666702,0.0309269416232547
2007-03-13,0.023069697007766,-0.0497798713698837,0.0108610931442309,-0.349567331982695,-0.111285877927859,-0.306279350114941,0.0899424934371597,-0.495620353580965,0.0171471687040538,-0.00506387537263323
2007-03-14,0.173809667190619,-0.0497798713698838,0.0252641252027377,-0.360960808341698,-0.116522313753134,-0.317602316276576,0.113373478546936,-0.495620353580965,0.0273279463343563,-0.0487471684501557
2007-03-15,0.211293150901218,-0.0735863605603972,0.0402865151266456,-0.407109270037154,-0.0986002551889497,-0.314022852494648,0.200837237848069,-0.495620353580965,0.00346749323354035,0.00135073359859278
2007-03-16,0.198566414627181,0.00718699468220086,0.0103193014347661,-0.382093272214846,-0.0849497620612824,-0.320666172165888,0.195513461784599,-0.495620353580965,-0.0381832282693184,0.0586168461831595
